"Защищеный Getac s410 i7-8, GPS, LTE",38990,https://www.avito.ru/sankt-peterburg/noutbuki/zaschischenyy_getac_s410_i7-8_gps_lte_4262009478,-,-,no,-
Тонкий ультрабук HP / SSD / Core i5 / Trade-in,11990,https://www.avito.ru/sankt-peterburg/noutbuki/tonkiy_ultrabuk_hp_ssd_core_i5_trade-in_3887279218,-,-,no,-
Игровой ноутбук MSI GL63 / GTX 1050 Ti / Core i7,27500,https://www.avito.ru/sankt-peterburg/noutbuki/igrovoy_noutbuk_msi_gl63_gtx_1050_ti_core_i7_4217666244,-,-,no,-
Игровой ноутбук MSI Katana 17 / RTX / Core i5,38900,https://www.avito.ru/sankt-peterburg/noutbuki/igrovoy_noutbuk_msi_katana_17_rtx_core_i5_4251341345,-,-,no,-
Ультрабук Dell Core i5 256 512 Gb,14400,https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_dell_core_i5_256_512_gb_3438823580,-,-,no,-
Игровой ноутбук MSI бу i5 i7,16900,https://www.avito.ru/sankt-peterburg/noutbuki/igrovoy_noutbuk_msi_bu_i5_i7_3887341970,-,-,no,-
Ноутбук MSI Leopard: GTX / Intel Core i7,38900,https://www.avito.ru/sankt-peterburg/noutbuki/noutbuk_msi_leopard_gtx_intel_core_i7_3398458716,-,-,no,-
Игровые ноутбуки i5 i7 Ryzen RTX GTX,26900,https://www.avito.ru/sankt-peterburg/noutbuki/igrovye_noutbuki_i5_i7_ryzen_rtx_gtx_2636164581,-,-,no,-
Игровой ноутбук Lenovo Legion / RTX 2060 / Core i7,43900,https://www.avito.ru/sankt-peterburg/noutbuki/igrovoy_noutbuk_lenovo_legion_rtx_2060_core_i7_4250689941,-,-,no,-
Быстрый ноутбук после обновления в офисе,14900,https://www.avito.ru/sankt-peterburg/noutbuki/bystryy_noutbuk_posle_obnovleniya_v_ofise_4089519967,-,-,no,-
Новый ноутбук Azerty,20999,https://www.avito.ru/sankt-peterburg/noutbuki/novyy_noutbuk_azerty_3599987333,-,-,no,-
Ноутбук huawei MateBook X Pro mrgfg-X белый,119000,https://www.avito.ru/sankt-peterburg/noutbuki/noutbuk_huawei_matebook_x_pro_mrgfg-x_belyy_4153009117,-,-,no,-
Acer Nitro i5-10300h/16gb/RTX 3060 6gb,57000,https://www.avito.ru/sankt-peterburg/noutbuki/acer_nitro_i5-10300h16gbrtx_3060_6gb_4108269124,-,-,no,-
Игровой Ноутбук Acer Nitro 5 / Core i5 / GTX / SSD,32900,https://www.avito.ru/sankt-peterburg/noutbuki/igrovoy_noutbuk_acer_nitro_5_core_i5_gtx_ssd_3909664956,-,-,no,-
Игровой ноутбук Aorus 15 / RTX 3060 / Core i7,55900,https://www.avito.ru/sankt-peterburg/noutbuki/igrovoy_noutbuk_aorus_15_rtx_3060_core_i7_4251032944,-,-,no,-
Ультрабуки с гарантией,7900,https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuki_s_garantiey_3982668211,-,-,no,-
Ультрабук Honor 16 / Ryzen 5 / 8 / 256 / SSD,22900,https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_honor_16_ryzen_5_8_256_ssd_4039276994,-,-,no,-
Apple MacBook Pro 13 2019 i5/16/256 Space Gray,44990,https://www.avito.ru/sankt-peterburg/noutbuki/apple_macbook_pro_13_2019_i516256_space_gray_4175321540,-,-,no,-
Ноутбук MacBook,19900,https://www.avito.ru/sankt-peterburg/noutbuki/noutbuk_macbook_3786245334,-,-,no,-
MacBook,26900,https://www.avito.ru/sankt-peterburg/noutbuki/macbook_3818045529,-,-,no,-
Ноутбук Lenovo Legion / RTX 3060 / Ryzen 5,49900,https://www.avito.ru/sankt-peterburg/noutbuki/noutbuk_lenovo_legion_rtx_3060_ryzen_5_3814247421,-,-,no,-
Ноутбук Honor Hunter / Core i7 / RTX 2060 / 512,41900,https://www.avito.ru/sankt-peterburg/noutbuki/noutbuk_honor_hunter_core_i7_rtx_2060_512_4038512032,-,-,no,-
Macbook pro 15 2019 i9/16gb/500ssd отличный,68000,https://www.avito.ru/sankt-peterburg/noutbuki/macbook_pro_15_2019_i916gb500ssd_otlichnyy_4279671160,-,-,no,-
MacBook 13-inch с хранения,10500,https://www.avito.ru/sankt-peterburg/noutbuki/macbook_13-inch_s_hraneniya_3060558267,-,-,no,-
Apple MacBook Pro 16 M1 16/512 Space Gray,159990,https://www.avito.ru/sankt-peterburg/noutbuki/apple_macbook_pro_16_m1_16512_space_gray_3727000565,-,-,no,-
MacBook Pro 13 с хранения,20500,https://www.avito.ru/sankt-peterburg/noutbuki/macbook_pro_13_s_hraneniya_4211965472,-,-,no,-
Тонкий мощный ноутбук для дома,5000,https://www.avito.ru/sankt-peterburg/noutbuki/tonkiy_moschnyy_noutbuk_dlya_doma_4128857044,-,-,no,-
Ноутбук Xiaomi Mi Notebook Air / GeForce / Core i7,19900,https://www.avito.ru/sankt-peterburg/noutbuki/noutbuk_xiaomi_mi_notebook_air_geforce_core_i7_4281731817,-,-,no,-
Asus Zenbook 13 ux325ja,29000,https://www.avito.ru/sankt-peterburg/noutbuki/asus_zenbook_13_ux325ja_4120761328,-,· 30 июля в 10:39,Пользователь,-
"14"" Ноутбук Lenovo ThinkPad T495 Ryzen 5 PRO/Vega8",25000,https://www.avito.ru/sankt-peterburg/noutbuki/14_noutbuk_lenovo_thinkpad_t495_ryzen_5_provega8_4271697736,-,-,no,-
Игровой ноутбук asus core i7 / 512Gb / 12Gb / GTX,26900,https://www.avito.ru/sankt-peterburg/noutbuki/igrovoy_noutbuk_asus_core_i7_512gb_12gb_gtx_2537370764,-,· вчера в 20:45,МОЙ КОМПЬЮТЕР - Ноутбуки доступные всем!,"санкт-петербург, ул. ефимова, 1/4
спасскаядо 5 мин.
садоваядо 5 мин.
сенная площадьдо 5 мин."
Игровой Мощный Ноутбук,18500,https://www.avito.ru/sankt-peterburg/noutbuki/igrovoy_moschnyy_noutbuk_4125925443,-,-,no,-
Lenovo ideapad 300,9500,https://www.avito.ru/sankt-peterburg/noutbuki/lenovo_ideapad_300_4243564702,-,-,no,-
Ноутбуки из офисов,13900,https://www.avito.ru/sankt-peterburg/noutbuki/noutbuki_iz_ofisov_4121137732,-,-,no,-
"MacBook Pro 16 M2 Max/32GB/1 TB, серый космос",339990,https://www.avito.ru/sankt-peterburg/noutbuki/macbook_pro_16_m2_max32gb1_tb_seryy_kosmos_2775525753,-,-,no,-
Apple MacBook Pro 16 2019 i9/32Gb/1Tb/5500M(8Gb),109000,https://www.avito.ru/sankt-peterburg/noutbuki/apple_macbook_pro_16_2019_i932gb1tb5500m8gb_4642136270,-,-,no,-
Игровой ноутбук Lenovo Ideapad Gaming GTX RTX,14490,https://www.avito.ru/sankt-peterburg/noutbuki/igrovoy_noutbuk_lenovo_ideapad_gaming_gtx_rtx_3982921950,-,-,no,-
"MacBook Pro, Air 2016 2017 2018 2019г. 12"",13"",15""",34900,https://www.avito.ru/sankt-peterburg/noutbuki/macbook_pro_air_2016_2017_2018_2019g._121315_1961968600,-,-,no,-
Sony vaio i5/10/ATI/SSD/HDD,9999,https://www.avito.ru/sankt-peterburg/noutbuki/sony_vaio_i510atissdhdd_4315356453,-,-,no,-
MacBook Pro 14 M3 Pro 18/512 Black,189990,https://www.avito.ru/sankt-peterburg/noutbuki/macbook_pro_14_m3_pro_18512_black_3566711029,-,-,no,-
MacBook Air M1/M2 8/16 256/512 Gold Silver Grey,59790,https://www.avito.ru/sankt-peterburg/noutbuki/macbook_air_m1m2_816_256512_gold_silver_grey_3727461896,-,-,no,-
Радикально топовый MacBook Pro 13 2021 c 32GB,84990,https://www.avito.ru/sankt-peterburg/noutbuki/radikalno_topovyy_macbook_pro_13_2021_c_32gb_4046806341,-,-,no,-
Мощный игровой ноутбук RTX / SSD / IPS,49900,https://www.avito.ru/sankt-peterburg/noutbuki/moschnyy_igrovoy_noutbuk_rtx_ssd_ips_4161183174,-,-,no,-
Ноутбук для рабочих задач,5000,https://www.avito.ru/sankt-peterburg/noutbuki/noutbuk_dlya_rabochih_zadach_4133414730,-,-,no,-
"Macbook Pro 16"" Рассрочка",23658,https://www.avito.ru/sankt-peterburg/noutbuki/macbook_pro_16_rassrochka_2538777845,-,-,no,-
Ноутбук для рабочих задач,5000,https://www.avito.ru/sankt-peterburg/noutbuki/noutbuk_dlya_rabochih_zadach_4133414730,-,-,no,-
Ноутбук для дома и работы,5000,https://www.avito.ru/sankt-peterburg/noutbuki/noutbuk_dlya_doma_i_raboty_4101539056,-,-,no,-
Бюджетный игровой ноутбук GTX / IPS / SSD,20000,https://www.avito.ru/sankt-peterburg/noutbuki/byudzhetnyy_igrovoy_noutbuk_gtx_ips_ssd_4156224983,-,-,no,-
Ноутбук для работы,5000,https://www.avito.ru/sankt-peterburg/noutbuki/noutbuk_dlya_raboty_4004944763,-,-,no,-
Ноутбук для работы и учебы,5000,https://www.avito.ru/sankt-peterburg/noutbuki/noutbuk_dlya_raboty_i_ucheby_4040854552,-,-,no,-
Игровой ноутбук 2023 года,30000,https://www.avito.ru/sankt-peterburg/noutbuki/igrovoy_noutbuk_2023_goda_3900398366,-,-,no,-
Ноутбуки с закрытых офисов,9900,https://www.avito.ru/sankt-peterburg/noutbuki/noutbuki_s_zakrytyh_ofisov_3327308192,-,-,no,-
Игровой ноутбук acer nitro 5,42000,https://www.avito.ru/sankt-peterburg/noutbuki/igrovoy_noutbuk_acer_nitro_5_4128428626,-,-,no,-
Игровой ноутбук MSI GL63 / GTX 1050 Ti / Core i7,27500,https://www.avito.ru/sankt-peterburg/noutbuki/igrovoy_noutbuk_msi_gl63_gtx_1050_ti_core_i7_4217666244,-,-,no,-
